proto,id
tcp,0
udp,1
tcp,2
tcp,3
udp,4
udp,5
udp,6
tcp,7
tcp,8
tcp,9
st2,10
unas,11
tcp,12
tcp,13
udp,14
udp,15
tcp,16
tcp,17
tcp,18
tcp,19
tcp,20
udp,21
irtp,22
,23
tcp,24
tcp,25
udp,26
udp,27
udp,28
vmtp,29
udp,30
tcp,31
any,32
udp,33
udp,34
udp,35
tcp,36
tcp,37
tcp,38
cpnx,39
sctp,40
tcp,41
ospf,42
,43
udp,44
tcp,45
tcp,46
udp,47
tcp,48
udp,49
udp,50
,51
udp,52
tcp,53
tcp,54
tcp,55
udp,56
unas,57
udp,58
tcp,59
unas,60
udp,61
udp,62
udp,63
udp,64
fc,65
ospf,66
tcp,67
tcp,68
udp,69
tcp,70
udp,71
tcp,72
tcp,73
tcp,74
,75
udp,76
tcp,77
,78
tcp,79
,80
udp,81
udp,82
udp,83
udp,84
udp,85
tcp,86
tcp,87
udp,88
udp,89
tcp,90
tcp,91
tcp,92
udp,93
tcp,94
tcp,95
udp,96
tcp,97
tcp,98
cftp,99
udp,100
udp,101
rsvp,102
tcp,103
tcp,104
udp,105
udp,106
,107
udp,108
aris,109
tcp,110
tcp,111
udp,112
tcp,113
dgp,114
tcp,115
unas,116
tcp,117
tcp,118
tcp,119
tcp,120
ipv6-route,121
tcp,122
udp,123
snp,124
tcp,125
udp,126
tcp,127
udp,128
pnni,129
udp,130
udp,131
udp,132
arp,133
udp,134
cbt,135
tcp,136
scps,137
tcp,138
udp,139
udp,140
udp,141
unas,142
unas,143
tcp,144
tcp,145
udp,146
udp,147
udp,148
unas,149
unas,150
tcp,151
tcp,152
tcf,153
tcp,154
udp,155
tcp,156
tcp,157
leaf-1,158
tcp,159
tcp,160
udp,161
tcp,162
udp,163
arp,164
udp,165
udp,166
udp,167
udp,168
unas,169
unas,170
tcp,171
swipe,172
tcp,173
tcp,174
udp,175
tcp,176
tcp,177
tcp,178
sctp,179
udp,180
tcp,181
tcp,182
tcp,183
tcp,184
udp,185
ospf,186
tcp,187
unas,188
tcp,189
tcp,190
udp,191
tcp,192
ospf,193
tcp,194
udp,195
tcp,196
tcp,197
tcp,198
udp,199
tcp,200
unas,201
tcp,202
unas,203
udp,204
udp,205
tcp,206
tcp,207
tcp,208
tcp,209
udp,210
udp,211
tcp,212
udp,213
tcp,214
udp,215
tcp,216
udp,217
udp,218
,219
unas,220
udp,221
tcp,222
tcp,223
unas,224
udp,225
tcp,226
any,227
udp,228
tcp,229
udp,230
tcp,231
udp,232
tcp,233
tcp,234
udp,235
tcp,236
udp,237
tcp,238
udp,239
tcp,240
,241
udp,242
tcp,243
udp,244
,245
udp,246
udp,247
udp,248
unas,249
wb-mon,250
tcp,251
udp,252
tcp,253
tcp,254
udp,255
tcp,256
tcp,257
tcp,258
tcp,259
udp,260
tcp,261
udp,262
tcp,263
unas,264
udp,265
udp,266
crudp,267
udp,268
unas,269
tcp,270
unas,271
tcp,272
udp,273
udp,274
udp,275
tcp,276
tcp,277
tcp,278
udp,279
tcp,280
sun-nd,281
udp,282
udp,283
udp,284
unas,285
rdp,286
udp,287
gmtp,288
tcp,289
udp,290
udp,291
tcp,292
udp,293
udp,294
udp,295
unas,296
ifmp,297
udp,298
tcp,299
tcp,300
tcp,301
udp,302
tcp,303
mobile,304
udp,305
tcp,306
udp,307
tcp,308
udp,309
tcp,310
udp,311
udp,312
udp,313
tcp,314
unas,315
tcp,316
udp,317
udp,318
udp,319
tcp,320
udp,321
unas,322
tcp,323
tcp,324
prm,325
udp,326
tcp,327
tcp,328
unas,329
swipe,330
tcp,331
unas,332
tcp,333
mobile,334
udp,335
tcp,336
tcp,337
tcp,338
udp,339
tcp,340
tcp,341
udp,342
tcp,343
udp,344
udp,345
tcp,346
udp,347
udp,348
tcp,349
,350
udp,351
unas,352
udp,353
,354
tcp,355
udp,356
tcp,357
tcp,358
tcp,359
tcp,360
tcp,361
tcp,362
,363
udp,364
tcp,365
udp,366
tcp,367
udp,368
tcp,369
unas,370
tcp,371
tcp,372
,373
udp,374
tcp,375
,376
tcp,377
tcp,378
udp,379
,380
tcp,381
tcp,382
udp,383
udp,384
tcp,385
udp,386
tcp,387
tcp,388
udp,389
udp,390
tcp,391
sps,392
tcp,393
,394
tcp,395
tcp,396
tcp,397
tcp,398
tcp,399
unas,400
tcp,401
tcp,402
unas,403
rdp,404
tcp,405
ipx-n-ip,406
fc,407
unas,408
udp,409
udp,410
tcp,411
tcp,412
tcp,413
tcp,414
tcp,415
tcp,416
unas,417
,418
udp,419
,420
udp,421
tcp,422
mobile,423
udp,424
arp,425
,426
tcp,427
tcp,428
ipip,429
tcp,430
tcp,431
udp,432
udp,433
udp,434
udp,435
udp,436
tcp,437
,438
arp,439
tcp,440
tcp,441
tcp,442
tcp,443
udp,444
unas,445
ospf,446
tcp,447
tcp,448
udp,449
tcp,450
tcp,451
tcp,452
tcp,453
udp,454
udp,455
tcp,456
tcp,457
ipv6-no,458
tcp,459
tcp,460
udp,461
crtp,462
unas,463
tcp,464
tcp,465
tcp,466
udp,467
tcp,468
tcp,469
tcp,470
tcp,471
tcp,472
udp,473
tcp,474
udp,475
udp,476
st2,477
udp,478
tcp,479
tcp,480
udp,481
unas,482
tcp,483
,484
tcp,485
tcp,486
udp,487
unas,488
tcp,489
tcp,490
tcp,491
unas,492
unas,493
tcp,494
,495
tcp,496
udp,497
udp,498
tcp,499
udp,500
tcp,501
udp,502
tcp,503
udp,504
tcp,505
udp,506
gre,507
tcp,508
tcp,509
udp,510
tcp,511
udp,512
tcp,513
unas,514
,515
tcp,516
udp,517
tcp,518
udp,519
tcp,520
tcp,521
tcp,522
,523
tcp,524
dgp,525
udp,526
udp,527
udp,528
tcp,529
udp,530
tcp,531
unas,532
udp,533
zero,534
unas,535
unas,536
unas,537
tcp,538
tcp,539
udp,540
udp,541
tcp,542
,543
prm,544
tcp,545
tcp,546
unas,547
udp,548
udp,549
hmp,550
tcp,551
tcp,552
tcp,553
udp,554
tcp,555
trunk-1,556
tcp,557
udp,558
tcp,559
tcp,560
tcp,561
unas,562
idpr,563
udp,564
tcp,565
tcp,566
tcp,567
tcp,568
udp,569
ifmp,570
tcp,571
tcp,572
tcp,573
,574
udp,575
tcp,576
tcp,577
tcp,578
udp,579
udp,580
udp,581
tcp,582
udp,583
udp,584
tcp,585
,586
,587
tcp,588
udp,589
tcp,590
tcp,591
udp,592
rdp,593
tcp,594
tcp,595
udp,596
ospf,597
unas,598
tcp,599
tcp,600
arp,601
udp,602
udp,603
tcp,604
tcp,605
tcp,606
tcp,607
tcp,608
udp,609
udp,610
tcp,611
tcp,612
udp,613
,614
ib,615
tcp,616
tcp,617
udp,618
tcp,619
udp,620
tcp,621
udp,622
tcp,623
tcp,624
udp,625
tcp,626
udp,627
tcp,628
tcp,629
tcp,630
udp,631
tcp,632
tcp,633
idpr-cmtp,634
tcp,635
tcp,636
udp,637
udp,638
udp,639
udp,640
tcp,641
arp,642
tcp,643
tcp,644
unas,645
tcp,646
tcp,647
tcp,648
udp,649
udp,650
udp,651
udp,652
idpr,653
tcp,654
tcp,655
unas,656
tcp,657
udp,658
tcp,659
arp,660
tcp,661
tcp,662
tcp,663
udp,664
udp,665
ospf,666
tcp,667
udp,668
udp,669
udp,670
vines,671
udp,672
unas,673
udp,674
tcp,675
tcp,676
tcp,677
tcp,678
tcp,679
unas,680
udp,681
tcp,682
udp,683
tcp,684
udp,685
tcp,686
tcp,687
tcp,688
tcp,689
tcp,690
unas,691
vmtp,692
udp,693
udp,694
tcp,695
tcp,696
unas,697
tcp,698
tcp,699
tcp,700
tcp,701
udp,702
,703
trunk-1,704
udp,705
tcp,706
tcp,707
tcp,708
udp,709
tcp,710
udp,711
udp,712
tcp,713
tcp,714
tcp,715
udp,716
unas,717
udp,718
udp,719
,720
tcp,721
udp,722
tcp,723
udp,724
udp,725
,726
,727
tcp,728
udp,729
tcp,730
udp,731
,732
udp,733
tcp,734
udp,735
tcp,736
,737
tcp,738
udp,739
,740
udp,741
udp,742
,743
udp,744
udp,745
tcp,746
arp,747
udp,748
udp,749
udp,750
udp,751
udp,752
tcp,753
,754
tcp,755
udp,756
tcp,757
udp,758
udp,759
udp,760
tcp,761
tcp,762
tcp,763
udp,764
udp,765
unas,766
tcp,767
tcp,768
udp,769
tcp,770
udp,771
udp,772
udp,773
udp,774
udp,775
tcp,776
,777
tcp,778
tcp,779
tcp,780
tcp,781
leaf-1,782
unas,783
tcp,784
pnni,785
,786
micp,787
a/n,788
tcp,789
unas,790
tcp,791
tcp,792
ipv6,793
udp,794
unas,795
tcp,796
arp,797
udp,798
tcp,799
udp,800
udp,801
udp,802
tcp,803
udp,804
unas,805
tcp,806
tcp,807
arp,808
tcp,809
tcp,810
udp,811
tcp,812
unas,813
udp,814
unas,815
tcp,816
udp,817
udp,818
tcp,819
tcp,820
tcp,821
unas,822
tcp,823
tcp,824
narp,825
unas,826
udp,827
tcp,828
tcp,829
tcp,830
udp,831
udp,832
udp,833
tcp,834
udp,835
udp,836
tcp,837
tcp,838
udp,839
unas,840
udp,841
tcp,842
tcp,843
tcp,844
tcp,845
tcp,846
unas,847
tcp,848
ospf,849
tcp,850
,851
udp,852
tcp,853
unas,854
tcp,855
tcp,856
tcp,857
udp,858
tcp,859
udp,860
udp,861
ttp,862
unas,863
unas,864
tcp,865
tcp,866
tcp,867
udp,868
eigrp,869
udp,870
udp,871
tcp,872
udp,873
udp,874
unas,875
udp,876
udp,877
rsvp,878
unas,879
tcp,880
tcp,881
tcp,882
udp,883
udp,884
tcp,885
tcp,886
,887
tcp,888
udp,889
unas,890
udp,891
tcp,892
,893
udp,894
udp,895
udp,896
udp,897
tcp,898
tcp,899
tcp,900
udp,901
udp,902
,903
tcp,904
tcp,905
tcp,906
tcp,907
udp,908
unas,909
tcp,910
udp,911
unas,912
unas,913
udp,914
uti,915
udp,916
arp,917
tcp,918
udp,919
sctp,920
tcp,921
unas,922
tcp,923
,924
udp,925
udp,926
udp,927
tcp,928
tcp,929
ospf,930
udp,931
,932
,933
tcp,934
udp,935
tcp,936
tcp,937
tcp,938
udp,939
udp,940
tcp,941
tcp,942
udp,943
tcp,944
tcp,945
tcp,946
udp,947
tcp,948
unas,949
udp,950
arp,951
,952
tcp,953
tcp,954
tcp,955
udp,956
tcp,957
udp,958
udp,959
unas,960
tcp,961
tcp,962
udp,963
tcp,964
udp,965
tcp,966
udp,967
udp,968
tcp,969
tcp,970
arp,971
tcp,972
udp,973
udp,974
tcp,975
udp,976
udp,977
udp,978
tcp,979
arp,980
tcp,981
udp,982
sctp,983
udp,984
tcp,985
tcp,986
udp,987
mux,988
udp,989
tcp,990
tcp,991
udp,992
tcp,993
udp,994
udp,995
udp,996
unas,997
tcp,998
arp,999
tcp,1000
pim,1001
tcp,1002
tcp,1003
udp,1004
udp,1005
udp,1006
,1007
udp,1008
pim,1009
udp,1010
srp,1011
udp,1012
udp,1013
tcp,1014
udp,1015
udp,1016
tcp,1017
udp,1018
tcp,1019
unas,1020
tcp,1021
unas,1022
tcp,1023
udp,1024
udp,1025
tcp,1026
,1027
tcp,1028
unas,1029
wsn,1030
unas,1031
tcp,1032
tcp,1033
tcp,1034
udp,1035
tcp,1036
udp,1037
udp,1038
,1039
tcp,1040
tcp,1041
udp,1042
udp,1043
ipip,1044
udp,1045
udp,1046
udp,1047
tcp,1048
udp,1049
tcp,1050
udp,1051
udp,1052
udp,1053
tcp,1054
udp,1055
tcp,1056
tcp,1057
leaf-1,1058
tcp,1059
udp,1060
udp,1061
tcp,1062
udp,1063
pim,1064
udp,1065
unas,1066
tcp,1067
udp,1068
tcp,1069
srp,1070
tcp,1071
udp,1072
tcp,1073
udp,1074
udp,1075
udp,1076
tcp,1077
udp,1078
tcp,1079
tcp,1080
tcp,1081
tcp,1082
tcp,1083
arp,1084
unas,1085
vmtp,1086
udp,1087
udp,1088
tcp,1089
udp,1090
tcp,1091
udp,1092
udp,1093
udp,1094
tcp,1095
udp,1096
tcp,1097
sctp,1098
tcp,1099
tcp,1100
tcp,1101
unas,1102
udp,1103
tlsp,1104
tcp,1105
udp,1106
unas,1107
unas,1108
udp,1109
tcp,1110
tcp,1111
udp,1112
arp,1113
ifmp,1114
tcp,1115
udp,1116
tcp,1117
tcp,1118
udp,1119
udp,1120
,1121
tcp,1122
udp,1123
tcp,1124
udp,1125
udp,1126
,1127
tcp,1128
tcp,1129
tcp,1130
tcp,1131
tcp,1132
udp,1133
tcp,1134
tcp,1135
udp,1136
tcp,1137
tcp,1138
tcp,1139
tcp,1140
udp,1141
udp,1142
tcp,1143
udp,1144
tcp,1145
,1146
udp,1147
tcp,1148
ospf,1149
udp,1150
tcp,1151
gre,1152
,1153
arp,1154
udp,1155
tcp,1156
udp,1157
,1158
udp,1159
tcp,1160
tcp,1161
udp,1162
udp,1163
udp,1164
,1165
udp,1166
tcp,1167
tcp,1168
tcp,1169
udp,1170
tcp,1171
